03/06/13;"0:1:56";"0:21:23";"0:17:44";"0:4:44";"0:0:0"
04/06/13;"0:34:51";"0:26:52";"0:5:43";"0:0:0";"0:0:0"
05/06/13;"0:10:20";"0:31:29";"1:46:48";"0:21:25";"0:0:0"
06/06/13;"0:5:49";"0:27:48";"0:31:19";"0:3:3";"0:0:0"
11/06/13;"0:36:7";"1:2:1";"0:55:11";"0:23:31";"0:2:17"
12/06/13;"0:27:14";"0:19:57";"0:7:52";"0:2:47";"0:0:0"
13/06/13;"0:12:43";"0:26:52";"0:20:11";"0:2:58";"0:3:14"
16/06/13;"0:1:9";"0:8:21";"0:56:2";"0:5:57";"0:0:0"
17/06/13;"0:3:11";"0:9:1";"0:11:54";"0:3:52";"0:0:0"
18/06/13;"0:1:46";"0:18:3";"0:21:1";"0:9:39";"0:3:14"
19/06/13;"0:37:4";"2:40:17";"2:56:43";"0:2:44";"0:0:0"
22/06/13;"5:13:38";"1:19:1";"0:46:36";"0:0:0";"0:0:0"
23/06/13;"0:13:42";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
25/06/13;"0:36:35";"0:32:36";"0:26:48";"0:8:25";"0:0:0"
26/06/13;"0:4:50";"0:26:39";"0:11:9";"0:6:11";"0:0:12"
30/06/13;"0:5:36";"0:49:42";"1:24:36";"0:20:23";"0:0:0"
01/07/13;"0:38:5";"0:29:50";"0:5:7";"0:0:12";"0:0:0"
02/07/13;"0:1:5";"0:34:15";"0:43:19";"0:8:56";"0:0:0"
05/07/13;"0:24:40";"1:25:50";"1:41:54";"0:13:58";"0:0:0"
10/07/13;"0:5:2";"0:21:50";"0:36:28";"0:1:24";"0:0:0"
11/07/13;"0:27:20";"0:19:18";"0:1:56";"0:0:0";"0:0:0"
12/07/13;"0:8:19";"0:17:32";"0:14:12";"0:0:0";"0:0:0"
12/07/13;"0:1:48";"0:17:57";"0:19:23";"0:0:57";"0:0:0"
14/07/13;"0:22:13";"0:15:37";"0:28:9";"0:0:0";"0:0:0"
14/07/13;"0:3:23";"0:30:48";"0:44:8";"0:0:1";"0:0:0"
15/07/13;"0:4:29";"0:18:18";"0:10:46";"0:0:0";"0:0:0"
16/07/13;"0:4:18";"0:19:52";"0:13:35";"0:0:59";"0:0:41"
21/07/13;"0:0:38";"0:12:50";"0:49:31";"0:5:23";"0:0:0"
23/07/13;"0:3:36";"0:5:50";"0:51:35";"0:17:25";"0:0:13"
23/07/13;"0:2:0";"0:24:0";"0:20:3";"0:17:55";"0:0:0"
24/07/13;"0:3:37";"0:12:16";"0:26:2";"0:0:0";"0:0:0"
25/07/13;"6:15:12";"0:7:48";"0:9:32";"0:0:46";"0:0:0"
26/07/13;"0:25:28";"1:4:52";"1:18:43";"0:9:22";"0:0:0"
28/07/13;"0:3:21";"0:27:22";"0:41:29";"0:15:46";"0:0:0"
30/07/13;"0:0:56";"0:29:6";"0:38:31";"0:0:43";"0:0:0"
31/07/13;"0:25:47";"0:39:2";"0:11:52";"0:0:0";"0:0:0"
01/08/13;"0:5:51";"0:40:52";"0:25:25";"0:0:46";"0:0:0"
02/08/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
03/08/13;"3:15:27";"3:4:23";"3:18:12";"0:0:0";"0:0:0"
